,Movie,Year,Time,Genre,Pick,Zach,Amin,Mayes,RT Crit,Crit #,RT Aud,Aud #,Combo,Sprd,Budget,Box Off WW,Cost,TM,Daisy Chain,Guest,P/P,Golden Dumpster,Z,A,M,Carl Weathers Memorial Ass OFF Award,Michael Biehn (Emilio Estevez) Ass ON Award,Louis Pinnock Accent Award,Five Horsemen,Rewatchingtons,"GD Nominees - Scene, Actor, Director or Moment",,,,,
HW,Jason X,2001,93,Science Fiction Slasher,BON,Phile,Phobe,Phobe,19%,108,25%,50k +,44%,6%,$11-14 Mil,$16.9 Mil,$,,,,,,Nipple Clamps - You Pass!,The lead grunt Bismack Biyombo getting stabbed - gonna take a little more than a poke in the ribs to stop me,Kinsa Shuttle Crash,Lisa Ryder as Kay-Em 14 while she's decapitated,Lexa Doig as Rowan,Sgt Brodski Loudspeaker Voice,Horniness,#9,,,,,,
57,That's My Boy,2012,93,Satirical Comedy,Z,Phobe,Phobe,Phobe,20%,115,51%,100k +,71%,31%,$70 Mil,$57.7 Mil,STZ,,,,,,Incest,Vanilla Ice & Todd Bridges getting them checks,Will Forte,Vanilla Ice as Himself,Nick Swardson as Kenny,,,,,,,,,Before all this pain
58,Cats,2019,94,Musical Fantasy,M,Phobe,Phobe,Phobe,19%,326,53%,5k + V,72%,34%,$100 Mil,$75.5 Mil,HBO,3/10,,,,,Idris Elba vanishing,Mice Diddly Dupping Song,Jason DeRulo's CGI removed dong,Ian McKellen as Gus the Theatre Cat,Jason DeRulo as Rum Tum Tugger,,,,,,,,,
59,Drillbit Taylor,2008,94,Coming-Of-Age Comedy,A,Phile,Phile,Phobe,26%,147,44%,50k +,70%,18%,$40 Mil,$49.7 Mil,STZ,5/10,,,,,Owen Wilson's Lying,Parent - on a date - police everywhere,Fagonometry,Danny McBride as Don,Nate Hartley as Wade,,,,,,,,,
60,The Fan,1996,94,Sports Psychological Thriller,Z,Phile,Phile,Phile,37%,30,34%,25k +,71%,-3%,$55 Mil,$18.6 Mil,$,,,,,,John Kruk getting murdered,Jason Pelligrini's Dad,Garrity,Robert De Niro as Gil Renard,Dan Butler as Garrity,,,,,,,,,
61,Last Action Hero,1993,94,Fantasy Action Comedy,M,Phile,Phobe,Phile,38%,48,47%,100k +,85%,9%,$85 Mil,$137.3 Mil,STZ,,,,,,Dekker - Cocoa Factory,The Script,Charles Dance,Frank McRae as Dekker,Austin O'Brien as Danny,,,,,,,,,
62,Money Train,1995,94,Action,A,Phile,Phile,Phobe,22%,32,29%,50k +,51%,7%,$68 Mil,$77.2 Mil,STZ,,,Roy Bellamy,Phile,Woody's Hairelson,"""You're not gonna hit em."" - ""Why?"" - ""I'm gonna hit him.""",Woody getting his ass kicked then seeing Wesley and JLo fuck,Robert Blake,Robert Blake as Donald Patterson,Jennifer Lopez as Grace Santiago,,,,,,,,,
63,Money Plane,2020,94,Action,Z,Phile,Phobe,Phile,23%,13,38%,50 +,61%,15%,???,???,Hulu,,,,,,When they 'parachute' jump out of the plane,When Isabella dumps a dead body in a closet and it tumbles into a somersault,"JR Crockett - I can't lose! - Blows his brains out, then his legs are shaking and make a rattle noise",Kelsey Grammer as The Rumble,Adam 'Edge' Copeland as Jack Reese,Matthew Lawrence as JR Crockett,Curtains - Set Design,#22,,,,,,
XMAS,Four Christmases,2008,94,Comedy-Drama,BON,Phile,Phobe,Phile,25%,145,47%,250k +,72%,22%,$80 Mil,$163.7 Mil,AMC,7/10,,,,,Nativity Scene,Taboo Scene - Favreau and Katy Mixon,,Vince Vaughn as Brad,Reese Witherspoon as Kate,,,,,,,,,
64,Troll 2,1990,95,Supernatural Comedy Horror,M,Phobe,Phobe,Phile,5%,21,44%,10k +,49%,39%,"$65,000?",???,HBO,,,,,,You Can't Piss on Hospitality... I won't allow it!,Turn me into a homo?,General Store Owner - He was an actual mental patient that wandered onto set,Deborah Reed as Creedence Leonore Gielgud Gary Carlston as Sheriff Gene Freak ,George Hardy (The Dentist) as Michael Waits Margo Prey as Diana Waits,Deborah Reed as Creedence Leonore Gielgud,My Boys,#25 Mayes went from Phobe to Phile,,,,,,
,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Jiu Jitsu,2020,95,Science Fiction Martial Arts,A,Phile,Phile,Phobe,27%,45,69%,250 +,96%,42%,$25 Mil,"$51,131",$,,,Pablo Torre,Phile,Nic Cage and Brax bowing to each,Nicolas Cage Newspaper Hats,Grillo Double Birds,Father and Son Flashback,Nicolas Cage as Wylie,Alain Moussi as Jake,,,,,,,,,
66,Snake Eyes,1998,95,Conspiracy Thriller,Z,Phile,Phile,Phile,41%,66,35%,50k +,76%,-6%,$73 Mil,$103.9 Mil,Cinemax,,,,,,Ruiz the rambunctious opposing boxer,Ned Anderson lying about writing a letter to his wife,Carla Gugino walking into a column to remind us that she's blind,Nicolas Cage as Rick Santoro,Carla Gugino as Julia Costello,,,,,,,,,
67,Kiss of Death,1995,95,Action Thriller,M,Phile,Phobe,Phile,68%,38,37%,5k +,105%,-31%,$40 Mil,$14.9 Mil,BOOT,,,,,,Nicolas Cage,Robert Kraft,Nicolas Cage,Nicolas Cage as Little Junior Brown,David Caruso as Jimmy Kilmartin,,,,,,,,,
68,Gone in 60 Seconds,2000,95,Action Heist,Z,Phile,Phobe,Phile,26%,139,77%,250k +,103%,51%,$103.3 Mil,$237.2 Mil,Bravo,,,Nando Vila,Phile,Cage at the ferrari dealership,Two Rogers don't make a right,Sidekick Exposition,Problematic Asian Driver,Nicolas Cage as Memphis Raines,Christopher Eccleston as Raymond Calitri aka 'The Carpenter',,,,,,,,,
69,Money Talks,1997,95,Action Comedy,A,Phile,Phile,Phile,16%,19,71%,25k +,87%,55%,$25 Mil,$48.4 Mil,TNT,,,Josiah Johnson,Phile,Helicopter Celebration,Faizon Love Prison Scene,,Chris Tucker,Chris Tucker as Franklin Hatchett,Gerard Ismael as Raymond Villard,,,,,,,,,
70,Soul Man,1986,95,Comedy,Z,Phobe,Phobe,Phobe,13%,23,34%,5k +,47%,21%,$4.5 Mil,$35 Mil,$,,,,,,Beach Boys - Gordo's Dissappointment,Barky and Booey electrician joke,Shut Up Dorothy,Jonathan 'Fudge' Leonard as George Walker,C Thomas Howell as Mark Watson,,,,,,,,,
VD,Valentine's Day,2010,96,Romantic Comedy,BON,Phobe,Phobe,Phobe,18%,190,47%,250k +,65%,29%,$52 Mil,$216.5 Mil,$,7/10,,,,,Franklin the Classroom Disruptor,"""Yay, we're famous."" - Michael",Taylor Swift,Anne Hathaway as Liz,The Whole Cast,,,,,,,,,
71,How High,2001,96,Stoner Comedy,M,Phile,Phile,Phile,26%,57,79%,50k +,105%,53%,$20 Mil,$31.3 Mil,STZ,,,,,,Jamal thinking he's a ghost,Black History Professor,Mike Epps as Baby Powder,Spalding Gray as Prof. Jackson,Tracey Walter as Prof. Wood,,,,,,,,,
72,Action Jackson,1988,96,Action,A,Phile,Phile,Phile,13%,15,32%,10k +,45%,19%,$7 Mil,$65 Mil,HBO,,,,,,Action driving a sports car through Dellaplane’s house,Action at the club with Vanity singing to him,Dee the dee-lightfully alliterative basil barber of exposition.,Carl Weathers as Jericho Action Jackson,Stan Foster as Albert,Branscombe Richmond as Poolroom Thug #2,Banter,#26,,,,,,
73,Twins,1988,96,Buddy Comedy,A,Phile,Phile,Phile,43%,42,39%,100k +,82%,-4%,$18 Mil,$216.6 Mil,$,,,,,,Julius' Frozen O Face,,,Danny DeVito as Vincent Benedict,David Caruso as Al Greco,,,,,,,,,
74,Eraser,1996,96,Action,Z,Phile,Phile,Phobe,38%,50,39%,100k +,77%,1%,$100 Mil,$242.3 Mil,$,,,JuJu Gotti,Phile,James Caan’s look when Coburn wants Arnold alive,The italian union guys getting lifted in the loader,Plane Sequence,Amin doubling down that Eraser is better than Independence Day,Robert Pastorelli as Johnny C,Danny Nucci as Monroe,,,,,,,,,
75,Batman & Robin,1997,96,SuperHero,M,Phobe,Phobe,Phile,12%,93,16%,250k +,28%,4%,$160 Mil,$238.2 Mil,HBO,,,,,,Bane's Driving Hat,Sunlight from the Congo,Uma Thurman,Michael Paul Chan as Observatory Scientist,Alicia Silverstone as Batgirl,,,,,,,,,
StP,The Great White Hype,1996,96,Sports Comedy,BON,Phile,Phile,Phile,45%,22,34%,5k +,79%,-11%,???,$8 Mil,$,,,,,,"Jon Lovitz thumb kiss ""100 years""",Merlot Brougham Interview,Jeff Goldblum is the Ethan Strauss of boxing,Jamie Foxx as Hassan El Ruk'n,Tim Kawakami as Himself,,,,,,,,,
76,Hercules in New York,1970,96,Fantasy Comedy,M,Phile,Phile,Phobe,17%,6,27%,5k +,44%,10%,"$300,000",???,PRIME,,,,,,Bear working the body during the fight,Dan LeBatard and the shipping container as the mob,Pretzie looking like a turtle,Arnold Stang as Pretzie,Deborah Loomis as Helen,Pretzie,Poppytalk,#10 Amin went from Phobe to Phile,,,,,,
77,Anaconda,1997,96,Adventure Horror,Z,Phile,Phile,Phile,37%,51,24%,250k +,61%,-13%,$45 Mil,$136.8 Mil,PRIME,,,,,,The snake puppet killing the panther puppet,Jon Voight killing Denise while tied up,Anaconda spitting the dead monkey into Westridge’s face,Jon Voight as Paul Serone,Vincent Castellanos as Mateo,Jon Voight Portugese,Voight's Faces,#19 Amin went from Phobe to Phile,,,,,,
